Test,Test,Test Test,4.9,16,"40.1838595,29.0618687"
Denizli,area,Hierapolis Arkeoloji Müzesi,4.7,22,"37.9249701,29.1240555"
Denizli,eczane,Nane Limon Eczanesi,4.6,28,"37.7580354,30.553568"
Denizli,eczane,Kıvanç Eczanesi,4.5,17,"36.8870988,30.6473247"
Denizli,eczane,Eczane Mira,4.7,22,"36.8632796,30.7300687"
Denizli,Lokanta,Ege corba mantı salonu,4.8,19,"37.9178175,29.1195064"
Denizli,Lokanta,Traverten Pide,4.5,34,"37.9183841,29.1201398"
Denizli,Lokanta,ONUR RESTAURANT,4.8,11,"37.9179323,29.1197476"
Denizli,cami,Cami,4.9,40,"37.918098,29.1201271"
Denizli,cami,Develi Köyü Cami,3.0,41,"37.931955,29.099614"
Denizli,eczane,Yeniköy Cami,4.4,12,"37.897714,29.1373718"
Denizli,area,Pamukkale,4.0,38,"37.9136957,29.1187097"
Denizli,eczane,Mihrican Eczanesi,4.4,17,"37.9137139,29.1189731"
Denizli,eczane,Yenilmez Eczanesi,3.8,14,"37.917786,29.1198769"
Denizli,eczane,Anadolu Eczanesi,4.8,19,"37.949543,29.079729"
Denizli,Lokanta,Aliş Restaurant Meşhur Denizli Kebabcısı,4.2,45,"37.9129483,29.1214339"
Denizli,Lokanta,Özbay chinese restaurant,4.7,31,"37.9164938,29.1220716"
Denizli,Lokanta,Ateş Gözleme,4.4,40,"37.91257,29.1218378"
Denizli,cami,Çeltikçi Köyü Cami,4.5,10,"37.871749,29.089187"
Denizli,cami,Esma Hatun Cami,4.8,19,"37.871749,29.089187"
Denizli,area,Ağlayan Kaya - Sakızcılar Asmaaltı Şelalesi,4.3,46,"38.0272677,29.2718958"
Denizli,eczane,HİLAL ECZANESİ,2.8,44,"38.6691799,29.3855337"
Denizli,eczane,Sevinç Eczanesi,4.2,29,"38.6523353,29.4016784"
Denizli,eczane,Beşçi Eczanesi,1.7,31,"38.678324,29.382898"
Denizli,Lokanta,İlyas'ın Yeri Alabalık Tesisi,4.4,20,"38.0278288,29.2687669"
Denizli,Lokanta,Muhtarın Yeri Restorant Canlı Alabalık Üretim Ve Satış Yeri,4.5,43,"38.0214028,29.2627394"
Denizli,Lokanta,Gruda Lokantası,4.7,34,"37.7549604,29.0889609"
Denizli,Lokanta,Kalabalık -Et -Balık Deniz Ürünleri Restoranı,4.7,49,"37.7944583,29.0272187"
Denizli,Lokanta,GÜVERTE BALIK MEZE   MANGAL,4.7,47,"37.7806964,29.0305813"
Denizli,eczane,Yukarı Cami,4.3,24,"38.0862247,29.2959405"
Denizli,eczane,Aşağı Cami,5.0,24,"38.0893071,29.2900784"
Denizli,cami,Uzunpınar Üçgen Cami,4.6,37,"38.033284,29.174388"
Denizli,area,Güney Şelalesi Milli Parkı,3.6,11,"38.1197844,29.0607027"
Denizli,eczane,Dalca Eczanesi,5.0,11,"38.1538389,29.0636524"
Denizli,eczane,Beşenk Eczanesi,2.0,12,"38.155116,29.067332"
Denizli,eczane,Sağlık Eczanesi,4.0,30,"38.1548471,29.0643088"
Denizli,Lokanta,Doğa Restorant,5.0,29,"38.120395,29.061624"
Denizli,Lokanta,Cumhuriyet Meydan Lokantası,4.0,11,"38.1540794,29.0640201"
Denizli,Lokanta,Pınar lokantası,4.4,28,"38.1599655,29.0650329"
Denizli,Lokanta,Metin Usta Pide Pizza Lahmacun Çorba ve Izgara,5.0,26,"37.9573322,29.0776394"
Denizli,Lokanta,Lezzet Lokantası,4.4,10,"37.96309,29.1036892"
Denizli,eczane,Koracık Cami,3.0,38,"38.1526637,29.0616769"
Denizli,eczane,Mesken Cami,4.0,40,"38.1510616,29.0666088"
Denizli,cami,Sait Ağa Cami,4.0,38,"38.1536111,29.0640936"
Denizli,area,Honaz Dağı Milli Parkı,4.4,25,"37.6619616,29.2461034"
Denizli,eczane,Bilim Eczanesi,2.0,49,"37.5881912,29.266331"
Denizli,eczane,Zeytinköy Seda Eczanesi,4.0,20,"37.7325,29.15281"
Denizli,eczane,Sibel Eczanesi,4.5,24,"37.7365515,29.1341986"
Denizli,Lokanta,Eğdiroğlu Lokanta,4.0,11,"37.5804062,29.2721512"
Denizli,Lokanta,Tşof Lokanta,3.9,42,"37.5785158,29.2729029"
Denizli,Lokanta,Arıkan Lokantası,4.0,19,"37.7536235,29.2694213"
Denizli,Lokanta,Kazak Lokanta,4.0,16,"37.5691413,29.2778478"
Denizli,Lokanta,AVŞAR LOKANTA,4.7,45,"37.783488,29.093308"
Denizli,cami,Ali Efendi Cami,4.3,46,"37.5824827,29.2625755"
Denizli,cami,Ağalar Cami,5.0,44,"37.577615,29.260094"
Denizli,cami,Hacı Tosun Ağa Cami,4.7,21,"37.5844327,29.2646356"
