Test,Test,Test Test,4.9,16,"40.1838595,29.0618687"
Mersin,area,Mersin Marina,4.4,46,"36.7715918,34.5710519"
Mersin,eczane,Demet Eczanesi,4.2,25,"37.5940611,36.8828893"
Mersin,eczane,Gamze Eczanesi,3.4,47,"37.5853478,36.9330371"
Mersin,eczane,Kübra eczanesi,5.0,11,"37.3749522,36.8404254"
Mersin,Lokanta,Kebapçıoğlu Lokantası,4.3,27,"36.774418,34.566937"
Mersin,Lokanta,Güderler Et Lokantası   Çorbacı,4.0,43,"36.775342,34.570799"
Mersin,Lokanta,Joys,3.8,37,"36.7734838,34.5710731"
Mersin,Lokanta,Köşem Et Lokantası,4.5,28,"36.77664,34.5726741"
Mersin,Lokanta,Karadeniz Sofrası,5.0,28,"36.7680496,34.56073"
Mersin,cami,Hazreti Ömer Cami,4.6,22,"36.773539,34.5642952"
Mersin,cami,Kumluk Cami,4.2,43,"36.772625,34.5679859"
Mersin,cami,Yörükler Camii,3.7,37,"36.775855,34.559266"
Mersin,area,Tarsus Şelale caybahcesi,4.2,48,"36.9333114,34.8984718"
Mersin,eczane,Eczane Bozyiğit,4.1,41,"37.0391931,35.4203283"
Mersin,eczane,Pınar Eczanesi,5.0,29,"36.8093398,34.6207758"
Mersin,eczane,Sibel koçak eczanesi,4.8,47,"36.7828581,34.5946101"
Mersin,Lokanta,Tarsus Şelale Restaurant,3.1,19,"36.9327518,34.8989117"
Mersin,Lokanta,Şefin Yeri,4.0,24,"36.9277843,34.8983376"
Mersin,cami,Fevzi Çakmak Yeni Nur Cami,4.3,31,
Mersin,eczane,Kavaklı Cami,4.4,20,
Mersin,cami,Fahrettin Paşa Cami,4.5,11,
Mersin,area,Tarihi Tarsus Evleri,4.4,25,"36.9179622,34.8942396"
Mersin,eczane,Aydan Eczanesi,3.3,22,"36.917062,34.887591"
Mersin,eczane,Paksoy Eczanesi,5.0,50,"36.913188,34.891678"
Mersin,Lokanta,Komagene,3.6,38,"36.7645434,34.5534747"
Mersin,Lokanta,Ali Emmi'nin Yeri - Bizim Lokanta,4.6,13,"36.9161553,34.8969579"
Mersin,Lokanta,Akvaryum Lokantası,4.4,28,"36.9163691,34.8964418"
Mersin,Lokanta,Bahar Lokantası,4.6,20,"36.916723,34.8970309"
Mersin,Lokanta,Hasan Doğuş Et Döner,4.8,13,"36.916669,34.8901734"
Mersin,cami,Miralay Ahmet Bey Camii,4.6,38,"36.9193388,34.8932185"
Mersin,cami,Küçük Minare Cami,4.6,45,"36.9164814,34.8936866"
Mersin,eczane,Reşadiye Cami,3.0,44,"36.9209141,34.8978157"
Mersin,area,Mamure Kalesi,4.5,38,"36.0811976,32.8945938"
Mersin,eczane,Dilşad Eczanesi,3.9,10,"36.070962,32.8643233"
Mersin,eczane,Çetin Eczanesi,5.0,18,"36.0786279,32.8492773"
Mersin,eczane,Eylül Eczanesi,4.0,35,"36.0791922,32.8456242"
Mersin,Lokanta,Ocakbaşı Cafe Restoran,4.4,23,"36.0821184,32.8942223"
Mersin,Lokanta,Amcabey Restorant,4.8,36,"36.086075,32.9033263"
Mersin,Lokanta,Güleryüz Lokantası,4.0,11,"36.0809112,32.8349174"
Mersin,cami,Iskele Camii,4.5,35,"36.0711599,32.864681"
Mersin,cami,Kocadut Mahallesi Cami,3.8,29,"36.099514,32.870667"
Mersin,eczane,Bozdoğan Köyü Eski Mahallesi Cami,4.0,38,"36.100422,32.8928879"
Mersin,area,Ilısu şelalesi,3.9,16,"36.5528962,33.0679508"
Mersin,eczane,AKDEMİR ECZANESİ,4.5,15,"36.7635227,34.5480093"
Mersin,eczane,Marina Eczanesi,4.1,30,"36.7792154,34.5752192"
Mersin,eczane,Gökçen Eczanesi,4.5,14,"36.9041481,30.6840943"
Mersin,Lokanta,Parlak Restaurant,4.1,46,"36.8877294,30.7053296"
Mersin,Lokanta,Öz Asmaaltı Kebap Salonu,4.2,42,"36.9861111,35.3247222"
Mersin,Lokanta,Ferah Kebap Salonu,4.3,12,"37.7644907,30.5576651"
Mersin,Lokanta,Piyazcı Sami,4.3,11,"36.887587,30.7019869"
Mersin,Lokanta,İkbal Lokantası,4.0,49,"38.7561844,30.5385268"
Mersin,cami,Yukarı Güllük Cami,4.8,30,"36.6375539,32.8977334"
Mersin,cami,Hacıveyiszade Camii,4.8,48,"37.8762595,32.4882405"
Mersin,cami,Adana Sabancı Merkez Cami,4.7,30,"36.9916508,35.3342307"
Mersin,area,Adamkayalar (Men of rock),4.1,45,"36.4823394,34.1202588"
Mersin,eczane,Eczane Kızkalesi,4.3,37,"36.4619763,34.1440282"
Mersin,eczane,Kale Eczanesi,3.2,50,"36.4613299,34.1442568"
Mersin,eczane,AYAŞ Eczanesi (аптека),5.0,41,"36.4973685,34.1836995"
Mersin,Lokanta,Güneş Lokantası,4.3,10,"36.4623771,34.1446889"
Mersin,Lokanta,Adamkayalar teras,4.0,25,"36.4764226,34.1427993"
Mersin,Lokanta,Seyir Cafeterya,4.5,17,"36.4794591,34.145442"
Mersin,Lokanta,ADAMKAYALAR SEYİR KAFETERYA,4.0,33,"36.4767668,34.143073"
Mersin,Lokanta,Akrabanin Yeri Et Mangal Tantuni,4.0,38,"36.4621964,34.1389506"
Mersin,cami,Akkum Cami,4.3,22,"36.461196,34.132309"
Mersin,cami,Kızkalesi Cami,4.3,11,"36.4626943,34.1461045"
Mersin,eczane,Hasanaliler Cami,2.0,48,"36.463665,34.0863278"
Mersin,area,Cennet-Cehenem,4.2,48,"36.4525869,34.1055939"
Mersin,eczane,Çağdaş Eczanesi,4.3,20,"36.416404,34.082949"
Mersin,eczane,Atakent Eczanesi,4.5,37,"36.4157391,34.0820391"
Mersin,eczane,Ece eczanesi,4.5,14,"36.4052506,34.0704426"
Mersin,Lokanta,Yeşil Vadi Kahvaltı ve Mangal Bahçesi,4.1,43,"36.4525233,34.100745"
Mersin,Lokanta,Ünlü Kahvaltı Salonu,3.8,17,"36.4500276,34.1068056"
Mersin,Lokanta,Nazmi'nin Yeri Balık Lokantası,2.0,35,"36.438594,34.115295"
Mersin,Lokanta,Ali Usta İçkisiz Lokanta,3.3,22,"36.416296,34.0827919"
Mersin,Lokanta,Susanoğlu Lokantası,4.3,26,"36.4157485,34.0820531"
Mersin,cami,Akdeniz Mahallesi Cami,4.3,14,"36.4435297,34.1133261"
Mersin,cami,Merdivensay Mevki Cami,4.0,35,"36.431529,34.078483"
Mersin,eczane,Çankaya Cami,5.0,35,"36.420308,34.0845059"
Mersin,area,Atatürk Parkı,4.1,30,"36.7942639,34.6288527"
Mersin,eczane,Huzurevleri Eczanesi,4.5,32,"37.0365164,35.2823438"
Mersin,eczane,Nesrin Eczanesi,4.0,40,"37.0047727,35.3632971"
Mersin,eczane,Eczane Ezgi,4.3,44,"37.0046848,35.3148483"
Mersin,Lokanta,KOMAGENE,3.8,33,"36.7934926,34.6219293"
Mersin,Lokanta,Seç Lokantası,4.0,37,"36.7961887,34.6294053"
Mersin,Lokanta,Etibeyaz Lokantası,4.0,35,"36.7971097,34.6280599"
Mersin,Lokanta,Merhaba Can,3.7,20,"36.7965215,34.6268019"
Mersin,Lokanta,Ata Et Lokantası,4.2,23,"36.7966394,34.6278558"
Mersin,cami,Ulu Cami,4.6,29,"36.7970603,34.6293546"
Mersin,cami,Tahtalı Cami,4.7,20,"36.7934795,34.6218209"
Mersin,cami,Mersin Eski Cami,4.9,42,"36.7981395,34.630249"
Mersin,area,Belenkeşlik Kalesi,4.3,36,"36.972245,34.5533519"
Mersin,Lokanta,Sogucak Gardenia Restaurant,4.0,32,"36.9682051,34.5477312"
Mersin,Lokanta,Gardenia Aile Çay Bahçesi,4.0,35,"36.9681109,34.5471415"
Mersin,Lokanta,Site 2 Lokantası Abdurrahman Küçük Ovacık,4.7,29,"40.0063056,32.8236541"
Mersin,cami,Soğucak Eski Cami,4.7,47,"36.971223,34.553273"
Mersin,cami,Soğucak Cami,4.6,33,"36.966567,34.553099"
Mersin,cami,Darısekisi Mahallesi Camii,4.4,44,"36.9706714,34.5740002"
Mersin,area,Göksu Nehri,4.7,16,"36.3816835,33.9175457"
Mersin,eczane,Limonlu Eczanesi,3.7,36,"36.5568923,34.24536"
Mersin,eczane,Sağında Eczanesi,4.3,38,"36.3436391,33.9180892"
Mersin,eczane,Deva eczanesi,2.0,17,"36.3818932,33.9393393"
Mersin,Lokanta,Doyum Lokantası,4.7,12,"36.3808114,33.9261985"
Mersin,Lokanta,KEKLİK RESTAURANT KEBAP LAHMACUN PİDE PİRZOLA YEMEK KAHVALTI,4.3,33,"36.3772482,33.9053841"
Mersin,Lokanta,Emek Lokantası,4.3,35,"36.3808416,33.9269364"
Mersin,Lokanta,Gerçek Ali Usta Aile Lokantası,3.9,33,"36.3817369,33.9291205"
Mersin,Lokanta,Ciğerci Mustafa,5.0,13,"36.3779293,33.925317"
Mersin,eczane,Safa Cami,4.1,39,
Mersin,cami,Alaaddin Cami,4.7,50,
Mersin,eczane,Pazarkaşı Cami,5.0,43,
Mersin,area,Mersin Deniz Müzesi,4.4,35,"36.7811269,34.5998547"
Mersin,eczane,Erden Eczanesi,4.3,15,"36.7832099,34.59218"
Mersin,eczane,İLKİN ECZANESİ,3.5,24,"36.7843442,34.5957757"
Mersin,eczane,Şimşek Eczanesi,3.0,20,"36.7832288,34.5921489"
Mersin,Lokanta,Burger King - Safranbolu,3.7,19,"41.2481956,32.681755"
Mersin,Lokanta,Sabah Et Lokantası,3.9,40,"36.7832071,34.5943993"
Mersin,Lokanta,Halit Usta,3.8,44,"36.7844896,34.6004626"
Mersin,Lokanta,Pozcu Ocakbaşı,3.9,37,"36.7844896,34.6004626"
Mersin,cami,Hacı Şevki Büyük Cami,4.3,45,"36.7844896,34.6004626"
Mersin,cami,Pirireis Cami,4.3,23,"36.7844896,34.6004626"
Mersin,cami,Hz  Muğdat Camii,4.8,31,"36.7844896,34.6004626"
Mersin,area,Kız Kalesi,4.4,11,"36.456803,34.1481167"
Mersin,eczane,Mutlu Eczane   Optik,4.0,34,"36.555052,34.232012"
