Test,Test,Test Test,4.9,16,"40.1838595,29.0618687"
Nevsehir,area,Kapadokya,4.8,27,"38.6198834,34.8648648"
Nevsehir,eczane,Yeni Yavuz Eczanesi(Pharmacy Apotheke),5.0,46,"38.624133,34.859309"
Nevsehir,eczane,Eczane Yeni Göreme,4.7,48,"38.6439399,34.8288356"
Nevsehir,eczane,Emin Eczanesi,4.1,29,"38.6439443,34.8288361"
Nevsehir,Lokanta,Hisarönü Restaurant,4.9,10,"38.6215257,34.8656166"
Nevsehir,Lokanta,Şekerin Yeri Kebap   Sulu Yemek,4.5,24,"38.6222283,34.8650629"
Nevsehir,Lokanta,Beey Kebab yöresel lezzetler cafe restorant,4.5,12,"38.6214315,34.8650845"
Nevsehir,Lokanta,Gizem Döner,4.4,11,"38.6213889,34.865"
Nevsehir,Lokanta,"Kapadokya karsi bag   Hatice Abla kahvaltı, yemek çeşitleri   tandır kebab   türkish kebab",4.8,41,"38.6183867,34.8676172"
Nevsehir,cami,Abdioğlu Cami,4.5,25,"38.620733,34.864918"
Nevsehir,cami,ALİ REİS CAMİİ,4.0,29,"38.619694,34.862299"
Nevsehir,cami,Çukur Cami,4.0,27,"38.620318,34.86357"
Nevsehir,area,Kurşunlu Camii Kurshunlu Mosque جامع كورشنلو,4.5,19,"38.4597518,34.7541004"
Nevsehir,eczane,Kardelen Eczanesi,4.2,14,"38.463632,34.750895"
Nevsehir,eczane,Yeni Eczanesi,4.0,27,"38.374713,34.7334008"
Nevsehir,eczane,Göre Eczanesi,4.0,21,"38.5834249,34.7218535"
Nevsehir,Lokanta,Halk pide çorba izgara döner salonu,5.0,42,"38.4600377,34.7502492"
Nevsehir,Lokanta,Gaziantep Restaurant,3.5,50,"38.4611371,34.7503035"
Nevsehir,Lokanta,Akın usta çorba ve kebap salonu,4.9,19,"38.4599077,34.7505394"
Nevsehir,cami,Karamanoğlu Camii,4.8,47,"38.4573975,34.752018"
Nevsehir,cami,Kaymaklı Yeni Cami,4.0,26,"38.4621967,34.7509821"
Nevsehir,cami,Bekir Ağa Cami,4.3,19,"38.4617972,34.7509114"
Nevsehir,area,Hacı Bektaş-ı Veli Türbesi,4.7,18,"38.9424528,34.5623722"
Nevsehir,eczane,Bektaş Eczanesi - Ecz  Nesrin SÜMEN,5.0,37,"38.9395011,34.5566217"
Nevsehir,eczane,Hacıbektaş Eczanesi,5.0,15,"38.94206,34.5597509"
Nevsehir,eczane,Güneş Eczanesi,4.3,23,"38.9416676,34.5603888"
Nevsehir,Lokanta,Komagene,4.9,30,"38.9408458,34.5618302"
Nevsehir,Lokanta,Yaşam Pide,4.7,24,"38.9416175,34.5605316"
Nevsehir,Lokanta,Can Baba Köfte Şiş,4.7,42,"38.941711,34.5617899"
Nevsehir,Lokanta,"TurnaCafe Restoran ( Kahvaltı Köfte ,Izgara Şiş)",4.9,22,"38.9416273,34.5617055"
Nevsehir,Lokanta,Gülzem Yiyecek ve içecek,5.0,40,"38.9423588,34.5616414"
Nevsehir,eczane,Avuç Cami,4.0,47,"38.942929,34.560854"
Nevsehir,cami,Cuma Cami,4.4,38,"38.9445652,34.5597689"
Nevsehir,eczane,Tepesidelik Cami,4.0,19,"38.942929,34.560854"
Nevsehir,area,Üç Güzeller,4.6,22,"38.6353432,34.8907752"
Nevsehir,eczane,Okgerman Eczanesi,5.0,29,"38.6321669,34.9118515"
Nevsehir,eczane,Özkan Eczanesi Pharmacy,4.7,43,"38.630639,34.9121037"
Nevsehir,eczane,Kervan Eczanesi,4.3,17,"38.6311241,34.9118599"
Nevsehir,Lokanta,KOMAGENE ÜRGÜP,4.0,23,"38.6318528,34.9133499"
Nevsehir,Lokanta,Uğurlu Restoran,4.9,34,"38.6244667,34.8651348"
Nevsehir,Lokanta,Ürgüp Pide ve Kebap Salonu,4.5,30,"38.6302312,34.9120721"
Nevsehir,Lokanta,Dünya Iskender kebap restoran,4.3,34,"38.6302937,34.9117911"
Nevsehir,Lokanta,TIK TIK Kadın Emeği,4.7,48,"38.6298908,34.9091547"
Nevsehir,cami,Esbelli Cami,5.0,36,"38.6357,34.9026676"
Nevsehir,cami,Yunak Cami,4.1,32,"38.633559,34.9056439"
Nevsehir,cami,Merkez Karamanoğlu Cami,4.8,13,"38.632649,34.9098379"
Nevsehir,area,Derinkuyu,4.0,33,"38.374548,34.733365"
Nevsehir,eczane,Cebeci Eczanesi,4.3,18,"38.3744289,34.7332617"
Nevsehir,eczane,Feralan Eczanesi,3.6,13,"38.3744994,34.7322103"
Nevsehir,eczane,Ekici Eczanesi,4.0,28,"38.33164,34.746775"
Nevsehir,Lokanta,Keskin restaurant,4.5,22,"38.3742892,34.7340154"
Nevsehir,Lokanta,Hüseyin Ustanın Yeri Restaurant,5.0,39,"38.3764312,34.7335575"
Nevsehir,Lokanta,Dört Mevsim,5.0,13,"38.3743265,34.7341472"
Nevsehir,Lokanta,Çorbacım Döner Salonu,5.0,41,"38.3749743,34.7327701"
Nevsehir,Lokanta,Sefa usta kebap salon,4.0,33,"38.3749747,34.7335251"
Nevsehir,cami,Fatih Cami,4.6,50,"38.3728574,34.730814"
Nevsehir,cami,Fadime - Mustafa Ekmekçi Camii,4.0,16,"38.3759527,34.7321431"
Nevsehir,cami,Bayramlı Cami,4.7,47,"38.374134,34.735113"
Nevsehir,area,Ihlara Vadisi,4.6,34,"38.2539041,34.3027527"
Nevsehir,eczane,Ihlara Eczanesi,4.0,22,"38.2407887,34.3000732"
Nevsehir,eczane,Güzelyurt Eczanesi,4.0,40,"38.271791,34.373974"
Nevsehir,eczane,Toprak Eczanesi,4.7,15,"38.393219,34.3459109"
Nevsehir,Lokanta,Diker Aile Çay Bahçesi,4.2,42,"38.2562225,34.2962268"
Nevsehir,Lokanta,Aslan Restaurant Ihlara vadisi,4.9,11,"38.2666834,34.2890894"
Nevsehir,Lokanta,HOCANIN YERİ RESTAURANT,3.3,17,"38.2650599,34.2906113"
Nevsehir,Lokanta,STAR RESTAURANT,3.8,49,"38.239579,34.3078663"
Nevsehir,Lokanta,köksal vadi başı tesisi,4.7,42,"38.238506,34.306363"
Nevsehir,cami,Belisırma Cami,4.5,13,"38.266987,34.290639"
Nevsehir,cami,Büyük Cami,4.4,38,"38.240239,34.3091621"
Nevsehir,cami,Yeditaş Cami,4.8,20,"38.241071,34.298213"
Nevsehir,area,Göreme Açık Hava Müzesi,4.7,31,"38.6400491,34.8453547"
Nevsehir,eczane,kapadokya eczanesi,4.2,50,"38.644642,34.832054"
